Label,Length
C12-F05-D20-V20 - 500x.tif,2.732
C12-F05-D20-V20 - 500x.tif,2.732
C12-F05-D20-V20 - 500x.tif,2.732
C12-F05-D20-V20 - 500x.tif,4.669
C12-F05-D20-V20 - 500x.tif,1.970
C12-F05-D20-V20 - 500x.tif,4.406
C12-F05-D20-V20 - 500x.tif,2.444
C12-F05-D20-V20 - 500x.tif,3.864
C12-F05-D20-V20 - 500x.tif,2.444
C12-F05-D20-V20 - 500x.tif,2.732
C12-F05-D20-V20 - 500x.tif,2.732
C12-F05-D20-V20 - 500x.tif,2.253
C12-F05-D20-V20 - 500x.tif,2.253
C12-F05-D20-V20 - 500x.tif,2.253
C12-F05-D20-V20 - 500x.tif,3.091
C12-F05-D20-V20 - 500x.tif,2.943
C12-F05-D20-V20 - 500x.tif,4.506
C12-F05-D20-V20 - 500x.tif,3.456
C12-F05-D20-V20 - 500x.tif,2.943
C12-F05-D20-V20 - 500x.tif,4.162
C12-F05-D20-V20 - 500x.tif,2.444
C12-F05-D20-V20 - 500x.tif,2.253
C12-F05-D20-V20 - 500x.tif,3.666
C12-F05-D20-V20 - 500x.tif,3.864
C12-F05-D20-V20 - 500x.tif,2.786
C12-F05-D20-V20 - 500x.tif,2.732
C12-F05-D20-V20 - 500x.tif,2.786
C12-F05-D20-V20 - 500x.tif,2.732
C12-F05-D20-V20 - 500x.tif,3.940
C12-F05-D20-V20 - 500x.tif,2.732
C12-F05-D20-V20 - 500x.tif,2.253
C12-F05-D20-V20 - 500x.tif,3.456
C12-F05-D20-V20 - 500x.tif,2.943
C12-F05-D20-V20 - 500x.tif,1.970
C12-F05-D20-V20 - 500x.tif,3.186
C12-F05-D20-V20 - 500x.tif,2.786
C12-F05-D20-V20 - 500x.tif,3.864
C12-F05-D20-V20 - 500x.tif,4.637
C12-F05-D20-V20 - 500x.tif,2.444
C12-F05-D20-V20 - 500x.tif,3.324
C12-F05-D20-V20 - 500x.tif,4.669
C12-F05-D20-V20 - 500x.tif,3.864
C12-F05-D20-V20 - 500x.tif,2.444
C12-F05-D20-V20 - 500x.tif,3.825
C12-F05-D20-V20 - 500x.tif,2.943
